dt,x,z,theta,vx,vz,wy,gim_real,gim_rate,T,gimbal
0.699999,-0.912526,140.64,0.0578931,-0.460519,-9.24131,-3.60434e-31,-0.261799,-0.785398,28000,-0.261769
0.00100001,-1.68601,133.063,0.0503514,-1.72461,-12.3981,-0.0211381,-0.261799,0.00170601,28000,-0.0010124
0.00100001,-1.68773,133.051,0.0503303,-1.72633,-12.4025,-0.0211671,-0.261785,0.0275206,28000,-0.00101149
0.00100001,-1.68946,133.039,0.0503091,-1.72805,-12.407,-0.0211961,-0.261745,0.0528721,28000,-0.00101057
0.00100001,-1.69119,133.026,0.0502879,-1.72977,-12.4115,-0.021225,-0.261679,0.0777662,28000,-0.00100965
0.00100001,-1.69292,133.014,0.0502666,-1.73149,-12.416,-0.021254,-0.261589,0.102209,28000,-0.00100873
0.00100001,-1.69465,133.001,0.0502454,-1.7332,-12.4205,-0.021283,-0.261475,0.126205,28000,-0.0010078
0.00100001,-1.69638,132.989,0.0502241,-1.73492,-12.4249,-0.0213119,-0.261337,0.149761,28000,-0.00100688
0.00100001,-1.69812,132.977,0.0502028,-1.73664,-12.4294,-0.0213408,-0.261175,0.172882,28000,-0.00100595
0.00100001,-1.69986,132.964,0.0501814,-1.73835,-12.4339,-0.0213697,-0.260991,0.195573,28000,-0.00100503
0.00100001,-1.7016,132.952,0.05016,-1.74007,-12.4384,-0.0213986,-0.260784,0.21784,28000,-0.00100411
0.00100001,-1.70334,132.939,0.0501386,-1.74178,-12.4429,-0.0214275,-0.260556,0.239689,28000,-0.00100319
0.00100001,-1.70508,132.927,0.0501172,-1.74349,-12.4473,-0.0214563,-0.260305,0.261124,28000,-0.00100228
0.00100001,-1.70683,132.914,0.0500957,-1.7452,-12.4518,-0.0214852,-0.260034,0.282151,28000,-0.00100136
0.00100001,-1.70857,132.902,0.0500742,-1.74691,-12.4563,-0.0215139,-0.259741,0.302775,28000,-0.00100045
0.00100001,-1.71032,132.889,0.0500527,-1.74862,-12.4608,-0.0215427,-0.259428,0.323001,28000,-0.000999537
